TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,LoginAttempts,AccountBalance,PreviousTransactionDate,ScenarioLabel,ScenarioRole
TRANSACTIONS2000BASELINE000001,ACB00001,83.14,2024-01-14T20:00:00,Debit,Colorado Springs,ATM,39,Student,1,8832.02,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000002,ACB00002,5.00,2024-01-20T16:00:00,Debit,Los Angeles,Online,44,Student,1,4649.89,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000003,ACB00003,141.92,2024-01-03T14:00:00,Credit,San Francisco,Online,38,Student,1,4726.51,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000004,ACB00004,255.31,2024-01-30T17:00:00,Debit,Seattle,ATM,55,Doctor,1,3079.85,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000005,ACB00005,170.75,2024-01-19T12:00:00,Credit,San Jose,Branch,43,Student,1,2862.79,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000006,ACB00006,46.32,2024-02-10T10:00:00,Debit,Miami,ATM,59,Engineer,1,6179.33,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000007,ACB00007,92.68,2024-01-15T08:00:00,Debit,San Francisco,Online,47,Engineer,1,5686.89,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000008,ACB00008,525.54,2024-02-07T11:00:00,Debit,Austin,Branch,48,Engineer,1,6421.14,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000009,ACB00009,162.12,2024-01-05T13:00:00,Debit,Philadelphia,ATM,71,Retired,1,5539.06,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000010,ACB00010,403.75,2024-01-04T20:00:00,Debit,Atlanta,ATM,44,Doctor,1,3850.15,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000011,ACB00011,852.45,2024-01-19T08:00:00,Debit,Charlotte,ATM,59,Retired,1,6913.42,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000012,ACB00012,5.00,2024-02-01T18:00:00,Debit,El Paso,ATM,33,Doctor,1,6402.14,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000013,ACB00013,275.96,2024-01-14T10:00:00,Credit,Washington,ATM,53,Engineer,1,11199.01,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000014,ACB00014,436.80,2024-02-04T08:00:00,Debit,Atlanta,Branch,34,Engineer,1,4958.68,,BASELINE_NORMAL,overall_volume
TRANSACTIONS2000BASELINE000015,ACB00015,525.26,2024-01-05T13:00:00,Debit,Memphis,Online,40,Doctor,1,4746.97,,BASELINE_NORMAL,overall_volume
